ensembl_id	SRR349741	SRR349742	SRR349743	SRR349744	SRR349745	SRR349746	SRR349747	SRR349748	SRR349749	SRR349750	SRR349751	SRR349752
ENSG00000165494.11	4358	6543	4150	8418	4866	12020	5235	1847	4377	2604	4775	4641
ENSG00000165495.15	0	184	50	152	227	190	149	0	190	114	228	642
ENSG00000165496.4	1359	569	494	175	1287	940	228	378	788	304	456	415
ENSG00000165501.16	1882	1986	1216	2800	2137	4788	2340	409	987	562	605	454
ENSG00000165502.6	2552	2950	2197	4925	3051	4299	3968	935	3640	1743	3702	3601
ENSG00000165506.14	2236	3529	3086	2703	2762	5044	1983	722	1348	949	887	452
ENSG00000165507.8	2993	6608	4120	2453	7242	3368	6923	190	636	228	152	152
ENSG00000165509.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165511.6	38	38	114	0	76	152	0	0	38	0	0	0
ENSG00000165512.4	7963	5049	2943	1468	5510	6283	4515	1128	1691	731	1097	456
ENSG00000165516.10	10413	11757	9350	6906	5870	11696	7396	2630	8002	4154	4541	6147
ENSG00000165521.15	4035	4701	4408	3420	2528	3255	3505	304	1257	531	818	777
ENSG00000165525.17	4939	6232	6157	5348	4516	7105	6166	975	4923	1979	4194	3105
ENSG00000165526.8	1964	3348	1668	6051	2085	3423	2111	982	1584	1011	1737	1101
ENSG00000165527.6	14822	13308	15505	19599	15604	28255	29805	19812	50926	28435	48525	38089
ENSG00000165533.18	3428	4650	4653	1923	2617	3771	4214	836	2048	1020	947	1202
ENSG00000165548.10	735	1723	1025	417	665	2363	3152	392	756	653	764	1026
ENSG00000165553.4	38	1140	874	0	114	0	38	0	0	0	0	0
ENSG00000165555.9	0	0	152	38	0	0	76	0	0	38	38	38
ENSG00000165556.9	74	0	0	0	0	21	0	0	0	0	20	0
ENSG00000165566.12	0	35	0	0	0	0	29	0	0	0	0	21
ENSG00000165568.17	252	114	114	458	508	40	150	76	0	91	38	108
ENSG00000165572.7	1770	984	722	1666	3176	3090	1525	266	342	530	418	266
ENSG00000165583.14	0	0	0	0	113	0	0	0	0	0	0	0
ENSG00000165584.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165588.16	0	224	38	0	0	0	0	0	0	0	0	20
ENSG00000165591.6	412	722	418	329	216	412	263	793	2776	711	1201	1229
ENSG00000165606.8	0	0	0	38	0	0	0	0	74	0	0	0
ENSG00000165609.12	2934	6754	5227	7375	10366	11713	7125	1248	5868	3301	2418	2124
ENSG00000165617.14	643	2653	721	1772	1128	1186	1280	0	0	38	0	0
ENSG00000165621.8	381	152	114	456	679	719	1325	75	114	532	456	189
